epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3575.42,1.17221,0.69522,1.23777,0.99886,0.9972,0.99476,0.72271,1.05803,0.41091,1.21719,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,3694.32,1.16664,0.68822,1.23629,0.99544,0.99574,0.99495,0.72083,1.08565,0.41545,1.22588,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,3813.82,1.16625,0.68288,1.2306,0.99863,1,0.99495,0.73387,1.062,0.39977,1.21134,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,3933.35,1.16756,0.67768,1.2379,0.99658,0.99768,0.99498,0.72451,1.1236,0.40637,1.24282,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,4059.36,1.16243,0.67131,1.23937,0.99638,0.99886,0.99486,0.72838,1.0623,0.39683,1.2122,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,4179.65,1.15771,0.66339,1.23137,0.99868,1,0.99492,0.73473,1.06874,0.39292,1.21089,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,4300.54,1.15196,0.66289,1.22402,0.99871,1,0.99484,0.73385,1.07963,0.39099,1.21487,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,4421.12,1.15927,0.66332,1.23286,0.99847,0.99772,0.9949,0.72932,1.05662,0.39734,1.204,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,4541.71,1.15441,0.65439,1.22854,0.99818,0.99886,0.99402,0.72938,1.06454,0.39365,1.21212,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,4662.52,1.14178,0.65826,1.22209,0.99886,0.99949,0.99499,0.73157,1.04106,0.38307,1.20202,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,4783.25,1.14455,0.65645,1.2259,0.99872,1,0.99499,0.7469,1.01826,0.37131,1.18836,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,4904.4,1.14921,0.64868,1.22935,0.99886,0.9998,0.99495,0.73593,1.01767,0.37847,1.1877,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,5024.38,1.13249,0.63394,1.21301,0.99861,1,0.99491,0.74038,1.0187,0.37299,1.18464,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,5144.52,1.13093,0.62143,1.21404,0.99866,1,0.99498,0.71665,1.12903,0.40538,1.24361,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,5264.63,1.13508,0.62764,1.21701,0.99832,1,0.99493,0.72726,1.09442,0.39425,1.22722,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,5385.49,1.1314,0.6284,1.2218,0.9984,1,0.995,0.73752,1.06523,0.37528,1.20918,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,5506.1,1.13079,0.6302,1.22016,0.9976,1,0.99498,0.74934,1.02741,0.37368,1.18752,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,5626.83,1.13487,0.62977,1.21848,0.99747,1,0.99477,0.72232,1.10218,0.38505,1.23444,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,5747.63,1.11903,0.62302,1.21268,0.99864,1,0.99492,0.74854,1.033,0.37353,1.19473,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,5868.74,1.11547,0.6131,1.20927,0.99886,0.99989,0.99497,0.73105,1.07425,0.37849,1.21459,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,5990.03,1.12862,0.61964,1.217,0.99886,0.99961,0.99499,0.74178,1.04646,0.37085,1.19747,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,6111.31,1.1192,0.62434,1.21623,0.99748,1,0.99494,0.74063,1.04006,0.37532,1.19777,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6236.93,1.10439,0.59586,1.20382,0.99886,0.99945,0.99498,0.73492,1.03585,0.36738,1.1938,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,6358.64,1.11218,0.60744,1.20751,0.99843,1,0.995,0.73,1.06467,0.37165,1.2129,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,6479.95,1.10563,0.59521,1.20548,0.99772,0.99977,0.995,0.73802,1.05525,0.37087,1.20447,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,6601.64,1.11423,0.60455,1.2081,0.99883,1,0.99499,0.74228,1.04778,0.36617,1.2007,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,6722.36,1.10719,0.59476,1.20092,0.9974,1,0.99494,0.73007,1.06655,0.36344,1.2087,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,6843.53,1.10639,0.58833,1.19885,0.99744,1,0.99485,0.73448,1.0758,0.36758,1.21437,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
