epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1217.63,0.98574,0.48103,0.88631,0.9741,0.99423,0.98036,0.73178,0.89298,0.41054,0.85936,0.00165689,0.00165689,0.00165689
43,1246.58,0.97179,0.47493,0.87998,0.96578,0.99519,0.98413,0.73236,0.9292,0.42212,0.86541,0.00164105,0.00164105,0.00164105
44,1275.55,0.98065,0.47235,0.88306,0.96902,0.99711,0.97681,0.71295,0.92483,0.425,0.86182,0.00162494,0.00162494,0.00162494
45,1304.53,0.96865,0.4653,0.87958,0.97034,0.99808,0.98045,0.7211,0.98723,0.43162,0.88058,0.00160855,0.00160855,0.00160855
46,1333.48,0.94883,0.45833,0.87872,0.97238,0.99423,0.98408,0.69622,1.03595,0.45046,0.88511,0.00159191,0.00159191,0.00159191
47,1362.43,0.96318,0.47522,0.88235,0.97358,0.99519,0.98448,0.71104,1.02773,0.44136,0.88588,0.00157501,0.00157501,0.00157501
48,1391.38,0.96711,0.46912,0.87906,0.97363,0.995,0.98001,0.71515,0.98382,0.42913,0.8735,0.00155786,0.00155786,0.00155786
49,1420.33,0.99199,0.47163,0.88528,0.97099,0.99853,0.98273,0.732,0.92382,0.42005,0.86956,0.00154047,0.00154047,0.00154047
50,1449.29,0.96135,0.46048,0.87949,0.97123,0.99423,0.98195,0.71572,0.94983,0.42459,0.86943,0.00152285,0.00152285,0.00152285
51,1478.24,0.95764,0.46213,0.88605,0.97009,0.9988,0.98029,0.72477,1.0034,0.42697,0.87784,0.001505,0.001505,0.001505
52,1507.19,0.95752,0.46573,0.87756,0.97181,0.99542,0.98296,0.73361,0.91771,0.41372,0.86201,0.00148694,0.00148694,0.00148694
53,1536.16,0.96042,0.46343,0.88357,0.97324,0.99519,0.98154,0.70037,1.02722,0.44285,0.88336,0.00146866,0.00146866,0.00146866
54,1565.12,0.95941,0.46085,0.8831,0.97274,0.99612,0.97989,0.71999,0.94618,0.41174,0.86631,0.00145019,0.00145019,0.00145019
55,1594.05,0.95456,0.45907,0.87776,0.97365,0.99586,0.98298,0.73128,0.98394,0.42642,0.87225,0.00143152,0.00143152,0.00143152
56,1623,0.95731,0.45841,0.88431,0.9714,0.99326,0.98438,0.73755,0.9506,0.41092,0.86913,0.00141267,0.00141267,0.00141267
57,1651.97,0.94995,0.45312,0.88151,0.96999,0.99808,0.9856,0.72737,0.976,0.41863,0.87322,0.00139364,0.00139364,0.00139364
58,1680.9,0.94225,0.44422,0.87932,0.97003,0.99681,0.97895,0.71638,0.9951,0.42187,0.8775,0.00137444,0.00137444,0.00137444
59,1709.87,0.96073,0.44819,0.8786,0.97273,0.99551,0.98361,0.69603,1.09714,0.44718,0.89301,0.00135509,0.00135509,0.00135509
60,1738.85,0.9496,0.45539,0.87693,0.97275,0.99654,0.98443,0.75741,0.90304,0.40971,0.86011,0.00133558,0.00133558,0.00133558
61,1767.82,0.94338,0.45106,0.87655,0.97454,0.9948,0.98315,0.69439,1.04736,0.44368,0.88703,0.00131593,0.00131593,0.00131593
62,1796.79,0.94098,0.44184,0.87503,0.97091,0.99585,0.98322,0.72549,0.9442,0.41023,0.86574,0.00129614,0.00129614,0.00129614
63,1825.75,0.94117,0.44744,0.87645,0.97215,0.99615,0.98235,0.7293,0.94642,0.40841,0.86761,0.00127623,0.00127623,0.00127623
64,1854.72,0.92121,0.43907,0.86602,0.97139,0.99808,0.9816,0.68934,1.08008,0.44966,0.89588,0.0012562,0.0012562,0.0012562
65,1883.7,0.94034,0.44482,0.88073,0.97188,0.99794,0.98311,0.71994,0.95885,0.41972,0.86693,0.00123607,0.00123607,0.00123607
66,1912.66,0.94184,0.44962,0.87352,0.97174,0.99711,0.9839,0.70097,1.06926,0.43613,0.88686,0.00121583,0.00121583,0.00121583
67,1941.62,0.92914,0.43769,0.87716,0.97095,0.99719,0.98668,0.73405,0.97983,0.41638,0.87446,0.00119551,0.00119551,0.00119551
68,1970.58,0.94852,0.44273,0.87929,0.97097,0.99801,0.98152,0.7337,0.92967,0.40097,0.86396,0.0011751,0.0011751,0.0011751
69,1999.53,0.92196,0.435,0.87277,0.97185,0.99684,0.9841,0.73245,0.96425,0.40598,0.87432,0.00115462,0.00115462,0.00115462
70,2028.48,0.92085,0.42806,0.8718,0.97148,0.99615,0.98458,0.73712,0.93136,0.3996,0.86478,0.00113408,0.00113408,0.00113408
71,2057.41,0.92479,0.44405,0.8755,0.97278,0.99753,0.98463,0.73725,0.92495,0.40159,0.86174,0.00111348,0.00111348,0.00111348
72,2086.39,0.92414,0.43018,0.87067,0.97281,0.99878,0.98497,0.75263,0.91583,0.3877,0.86203,0.00109284,0.00109284,0.00109284
73,2115.34,0.90954,0.4263,0.86809,0.97098,0.99904,0.98606,0.74431,0.93377,0.39842,0.866,0.00107216,0.00107216,0.00107216
74,2144.31,0.92289,0.42881,0.87191,0.97183,0.99621,0.98251,0.71589,1.02009,0.41772,0.88245,0.00105146,0.00105146,0.00105146
75,2173.28,0.92412,0.43098,0.86977,0.97162,0.99904,0.98206,0.73233,0.92625,0.3993,0.86432,0.00103073,0.00103073,0.00103073
76,2202.23,0.92825,0.42712,0.87899,0.9712,0.99615,0.98223,0.74754,0.94061,0.38863,0.87153,0.00101,0.00101,0.00101
77,2231.21,0.92808,0.42877,0.86685,0.97279,0.99804,0.98424,0.74953,0.90548,0.38149,0.86179,0.000989267,0.000989267,0.000989267
78,2260.18,0.92091,0.42839,0.87015,0.97272,0.99711,0.98559,0.73316,0.99183,0.40543,0.87523,0.000968543,0.000968543,0.000968543
79,2289.13,0.90811,0.41956,0.86327,0.97161,0.99808,0.98371,0.72809,0.96579,0.40133,0.87249,0.000947837,0.000947837,0.000947837
80,2318.08,0.9065,0.41467,0.86807,0.97315,0.99711,0.98378,0.7473,0.89749,0.38916,0.85759,0.000927159,0.000927159,0.000927159
81,2347.01,0.90667,0.42249,0.86602,0.97367,0.99808,0.98259,0.74757,0.89515,0.38709,0.85524,0.000906517,0.000906517,0.000906517
82,2375.96,0.89918,0.41387,0.86741,0.97185,0.99688,0.98445,0.73849,0.93165,0.39362,0.86456,0.00088592,0.00088592,0.00088592
83,2404.93,0.90218,0.41411,0.86213,0.97273,0.99808,0.98319,0.74278,0.94733,0.39227,0.87029,0.000865378,0.000865378,0.000865378
84,2433.9,0.89332,0.41475,0.86376,0.97385,0.99423,0.98404,0.75045,0.90994,0.38402,0.86173,0.000844899,0.000844899,0.000844899
85,2462.82,0.90008,0.41388,0.86684,0.97177,0.99808,0.98453,0.74271,0.92732,0.3877,0.86179,0.000824492,0.000824492,0.000824492
86,2491.75,0.89487,0.41249,0.86361,0.96963,0.99808,0.98546,0.74226,0.90758,0.38491,0.8586,0.000804167,0.000804167,0.000804167
87,2520.68,0.8949,0.41254,0.86547,0.97248,0.99711,0.98639,0.75612,0.8954,0.37621,0.85805,0.000783933,0.000783933,0.000783933
88,2549.65,0.88858,0.40317,0.86532,0.97083,0.99519,0.98503,0.73704,0.95742,0.3944,0.87483,0.000763797,0.000763797,0.000763797
89,2578.6,0.88715,0.40753,0.86724,0.97089,0.99808,0.98528,0.73473,0.93971,0.38899,0.86466,0.000743769,0.000743769,0.000743769
90,2607.54,0.8832,0.40905,0.86277,0.97095,0.99711,0.98475,0.74859,0.88743,0.37486,0.85575,0.000723859,0.000723859,0.000723859
91,2636.51,0.88024,0.40565,0.86424,0.97385,0.99615,0.98318,0.74016,0.92025,0.38512,0.86259,0.000704073,0.000704073,0.000704073
92,2665.47,0.87659,0.39283,0.85952,0.97141,0.99904,0.985,0.75867,0.90261,0.37516,0.86028,0.000684422,0.000684422,0.000684422
93,2694.42,0.88086,0.3989,0.86445,0.97168,0.99808,0.9845,0.75484,0.91701,0.37905,0.86305,0.000664914,0.000664914,0.000664914
94,2723.36,0.87317,0.4005,0.86239,0.97258,0.99904,0.98492,0.74309,0.93912,0.38369,0.86696,0.000645557,0.000645557,0.000645557
95,2752.31,0.89501,0.40424,0.8672,0.97318,0.99808,0.98497,0.75853,0.89255,0.36841,0.85763,0.00062636,0.00062636,0.00062636
96,2781.27,0.87467,0.39799,0.86511,0.97191,0.99889,0.9838,0.7526,0.88132,0.37009,0.85579,0.000607331,0.000607331,0.000607331
97,2810.22,0.88232,0.39237,0.8605,0.97366,0.99612,0.98626,0.75647,0.8772,0.36637,0.85568,0.000588479,0.000588479,0.000588479
98,2839.19,0.8743,0.39459,0.86249,0.97163,0.99808,0.98682,0.76144,0.87192,0.3653,0.85822,0.000569811,0.000569811,0.000569811
