epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,10159.2,0.79584,0.44094,0.95354,0.94936,0.96729,0.98333,0.85092,0.61083,0.32529,0.85698,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,10496,0.79688,0.44489,0.95531,0.94942,0.96968,0.98364,0.85106,0.61118,0.32353,0.85682,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,10832.9,0.79295,0.4408,0.95385,0.94935,0.97149,0.98347,0.85091,0.61054,0.3233,0.85754,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,11169.7,0.79162,0.44135,0.95101,0.95074,0.96951,0.98334,0.85093,0.60845,0.32239,0.85714,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,11506.5,0.78571,0.43647,0.94866,0.94893,0.97121,0.98376,0.85272,0.60589,0.32056,0.85613,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,11843.4,0.78413,0.43404,0.94747,0.94981,0.97081,0.9836,0.85311,0.60454,0.31841,0.85525,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,12180.4,0.78606,0.43783,0.95063,0.95222,0.96968,0.98396,0.85454,0.60335,0.31644,0.85485,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,12517.4,0.78209,0.43122,0.94661,0.95257,0.96811,0.98421,0.8551,0.60268,0.31501,0.85458,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,12854.2,0.77985,0.43166,0.94692,0.95164,0.9699,0.9845,0.85486,0.60378,0.31459,0.85438,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,13191,0.78022,0.43467,0.94874,0.95134,0.969,0.9845,0.85492,0.60286,0.31375,0.8538,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,13528,0.77812,0.43075,0.94533,0.95006,0.97058,0.9846,0.85571,0.60302,0.3122,0.85291,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,13864.8,0.77547,0.42965,0.94396,0.94907,0.97262,0.98464,0.85741,0.60318,0.3115,0.85259,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,14201.8,0.77264,0.42823,0.94578,0.95002,0.97209,0.98481,0.85742,0.60258,0.31066,0.85228,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,14538.7,0.77829,0.42782,0.94665,0.94796,0.97284,0.98484,0.85793,0.60218,0.30976,0.85215,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,14875.7,0.76865,0.42483,0.94194,0.94911,0.97171,0.98494,0.85824,0.60142,0.30915,0.85211,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,15212.5,0.7691,0.42294,0.94118,0.94895,0.97173,0.98479,0.85825,0.60106,0.30892,0.85186,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,15549.1,0.7645,0.42333,0.94072,0.95002,0.97081,0.98496,0.85811,0.60057,0.30845,0.8515,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,15886.2,0.7677,0.42138,0.94323,0.94799,0.97352,0.98498,0.8586,0.59973,0.30803,0.85117,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,16223.1,0.76471,0.4216,0.9409,0.94796,0.97352,0.98486,0.85909,0.5991,0.30741,0.8509,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,16559.7,0.76293,0.41802,0.94025,0.94845,0.97375,0.98485,0.85923,0.59858,0.30706,0.85062,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,16896.5,0.75968,0.4198,0.9399,0.94827,0.97352,0.98501,0.85945,0.59818,0.3066,0.85037,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,17233.1,0.75534,0.41571,0.93845,0.94835,0.97352,0.9851,0.85975,0.59771,0.30606,0.85021,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,17569.8,0.75523,0.41526,0.93727,0.94976,0.97284,0.98508,0.8599,0.59734,0.30563,0.85005,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,17906.5,0.75594,0.41482,0.93842,0.95019,0.97194,0.98519,0.86032,0.59695,0.30524,0.84994,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,18243.2,0.7591,0.41505,0.93843,0.95083,0.97137,0.9852,0.86038,0.59643,0.30486,0.84972,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,18580.2,0.75388,0.41233,0.93755,0.94982,0.97225,0.98529,0.86061,0.59602,0.30425,0.84952,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,18917.5,0.7495,0.40994,0.93483,0.95123,0.97126,0.98532,0.86091,0.59563,0.30389,0.84935,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,19254.5,0.74888,0.41114,0.93281,0.9516,0.97103,0.98538,0.86089,0.59529,0.30353,0.84913,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,19591.4,0.74973,0.40755,0.93484,0.95118,0.97126,0.98543,0.86061,0.59495,0.30311,0.84893,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,19928.6,0.75044,0.41367,0.93583,0.95145,0.97124,0.98546,0.86138,0.59458,0.30245,0.84875,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,20265.6,0.74478,0.40705,0.9321,0.95107,0.97126,0.98554,0.8614,0.59429,0.30192,0.84856,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,20602.5,0.7422,0.40611,0.93109,0.95098,0.97171,0.98557,0.86191,0.5941,0.30151,0.84847,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,20939.6,0.74232,0.40557,0.931,0.95177,0.97149,0.98563,0.86151,0.59385,0.3013,0.84826,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,21276.5,0.73942,0.40572,0.93109,0.95215,0.97171,0.98564,0.8612,0.59364,0.30095,0.84799,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,21613.2,0.74174,0.40387,0.93274,0.95263,0.97171,0.98566,0.86159,0.59341,0.30053,0.84783,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,21949.9,0.73613,0.40213,0.92917,0.95252,0.9716,0.98571,0.86148,0.5931,0.30005,0.8477,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
