epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1112.5,1.04567,0.53098,0.89175,0.97299,0.99344,0.98511,0.70673,1.03936,0.46165,0.87341,0.00148239,0.00148239,0.00148239
43,1139.02,1.02626,0.50999,0.88651,0.97101,0.99477,0.98291,0.72581,1.01064,0.44844,0.86969,0.00145945,0.00145945,0.00145945
44,1165.43,1.03109,0.51393,0.88546,0.97072,0.99434,0.98337,0.71443,0.9739,0.44101,0.86136,0.00143621,0.00143621,0.00143621
45,1191.9,1.02397,0.52265,0.88792,0.97101,0.99482,0.9843,0.71887,1.0191,0.45227,0.86962,0.00141267,0.00141267,0.00141267
46,1218.37,1.03827,0.51103,0.89059,0.96823,0.99576,0.98185,0.71728,0.98376,0.44168,0.8646,0.00138886,0.00138886,0.00138886
47,1244.86,1.04367,0.52399,0.89457,0.97102,0.99513,0.98573,0.67056,1.13886,0.4658,0.88901,0.00136478,0.00136478,0.00136478
48,1271.32,1.01954,0.50686,0.88618,0.96844,0.99837,0.98351,0.71094,1.00148,0.44397,0.87015,0.00134047,0.00134047,0.00134047
49,1297.77,1.02853,0.51394,0.88349,0.97281,0.99364,0.98526,0.75579,0.91408,0.41847,0.85652,0.00131593,0.00131593,0.00131593
50,1324.25,1.02916,0.51074,0.88328,0.97438,0.99527,0.98116,0.70442,1.0016,0.42925,0.868,0.00129118,0.00129118,0.00129118
51,1350.69,1.02178,0.50019,0.88379,0.97204,0.99576,0.9829,0.72353,0.97654,0.42566,0.86572,0.00126623,0.00126623,0.00126623
52,1377.2,1.00856,0.49312,0.88309,0.97072,0.99646,0.98368,0.72608,0.97332,0.42306,0.86754,0.00124111,0.00124111,0.00124111
53,1403.68,1.03121,0.50115,0.88507,0.96971,0.99617,0.98338,0.73126,0.95971,0.42154,0.86381,0.00121583,0.00121583,0.00121583
54,1430.16,1.00083,0.48799,0.8751,0.97559,0.98942,0.98151,0.73527,0.93499,0.41296,0.86017,0.00119041,0.00119041,0.00119041
55,1456.59,1.02058,0.49652,0.8909,0.97135,0.99293,0.98618,0.68992,1.10277,0.46233,0.88704,0.00116487,0.00116487,0.00116487
56,1483.02,1.01673,0.49688,0.88252,0.97236,0.99526,0.98315,0.70966,1.00252,0.44453,0.86883,0.00113922,0.00113922,0.00113922
57,1509.44,1.0108,0.48554,0.88701,0.97466,0.99364,0.98507,0.73977,0.94931,0.4177,0.86247,0.00111348,0.00111348,0.00111348
58,1535.94,1.01322,0.50062,0.88201,0.97298,0.99434,0.98217,0.73114,0.929,0.41781,0.85816,0.00108767,0.00108767,0.00108767
59,1562.39,1.00817,0.49685,0.88946,0.96907,0.99717,0.98435,0.74552,0.91861,0.41419,0.85526,0.00106181,0.00106181,0.00106181
60,1588.81,1.00808,0.49717,0.88125,0.96901,0.99522,0.9855,0.73487,0.92953,0.40958,0.85914,0.00103592,0.00103592,0.00103592
61,1615.22,1.00321,0.47951,0.8793,0.9678,0.99912,0.98654,0.73501,0.97502,0.42239,0.86401,0.00101,0.00101,0.00101
62,1641.66,0.98564,0.48037,0.88207,0.96919,0.99576,0.98384,0.71517,0.99538,0.42616,0.87345,0.000984085,0.000984085,0.000984085
63,1668.2,0.98908,0.48277,0.87699,0.9704,0.99696,0.98375,0.74135,0.94441,0.40707,0.85923,0.000958187,0.000958187,0.000958187
64,1694.66,0.99156,0.47845,0.88108,0.96829,0.99859,0.98562,0.75231,0.92771,0.4038,0.85676,0.000932325,0.000932325,0.000932325
65,1721.17,0.97973,0.46757,0.87667,0.97147,0.99788,0.98483,0.73571,0.97271,0.41356,0.86357,0.000906517,0.000906517,0.000906517
66,1747.67,0.99264,0.46833,0.87911,0.97023,0.99576,0.98252,0.69796,1.05186,0.438,0.87422,0.000880779,0.000880779,0.000880779
67,1774.23,0.98677,0.4734,0.88331,0.9723,0.99312,0.98594,0.73666,0.92269,0.40913,0.8552,0.00085513,0.00085513,0.00085513
68,1800.69,0.97084,0.46285,0.87725,0.96759,0.99788,0.98628,0.73269,0.95361,0.40873,0.86394,0.000829587,0.000829587,0.000829587
69,1827.2,0.99391,0.47028,0.87492,0.97129,0.99293,0.98741,0.73948,0.97004,0.40938,0.86309,0.000804167,0.000804167,0.000804167
70,1853.62,0.96081,0.46032,0.87063,0.96842,0.99765,0.98458,0.73456,0.92615,0.4049,0.85614,0.000778889,0.000778889,0.000778889
71,1880.08,0.97354,0.46798,0.87829,0.97204,0.99293,0.98766,0.73436,0.95256,0.41152,0.85927,0.000753769,0.000753769,0.000753769
72,1906.55,0.98488,0.4751,0.8825,0.96779,0.99858,0.98568,0.73731,0.95546,0.4035,0.86383,0.000728825,0.000728825,0.000728825
73,1933.08,0.96042,0.46018,0.8744,0.96842,0.99769,0.98771,0.73062,0.98311,0.41088,0.86846,0.000704073,0.000704073,0.000704073
74,1959.67,0.95358,0.44913,0.87164,0.97294,0.99505,0.98536,0.74328,0.9263,0.39556,0.85595,0.000679531,0.000679531,0.000679531
75,1986.25,0.9614,0.45007,0.87134,0.9704,0.99685,0.98388,0.73759,0.93904,0.40342,0.85748,0.000655216,0.000655216,0.000655216
76,2012.78,0.9671,0.4584,0.87063,0.97103,0.99568,0.9864,0.7551,0.91269,0.38984,0.85263,0.000631143,0.000631143,0.000631143
77,2039.29,0.96315,0.44691,0.87639,0.97352,0.99222,0.98559,0.74891,0.90123,0.38692,0.85339,0.000607331,0.000607331,0.000607331
78,2065.81,0.96654,0.45341,0.87023,0.97199,0.99434,0.98591,0.74174,0.9394,0.39833,0.8583,0.000583794,0.000583794,0.000583794
79,2092.23,0.95347,0.44585,0.87014,0.97112,0.99505,0.98526,0.74253,0.93598,0.39542,0.85618,0.000560549,0.000560549,0.000560549
