epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1550.22,1.10507,0.41253,0.00268,0.96163,0.98941,0.98333,0.76564,0.9259,0.27868,0.00211,0.00165689,0.00165689,0.00165689
43,1587.06,1.1116,0.41882,0.00266,0.9588,0.98653,0.98049,0.71785,1.05433,0.32128,0.00249,0.00164105,0.00164105,0.00164105
44,1623.98,1.09776,0.4085,0.00268,0.96516,0.98649,0.98028,0.70052,1.12374,0.31992,0.00272,0.00162494,0.00162494,0.00162494
45,1660.89,1.0917,0.39623,0.00263,0.9706,0.98499,0.97963,0.74085,0.9896,0.29032,0.00234,0.00160855,0.00160855,0.00160855
46,1697.72,1.05742,0.38419,0.0025,0.97007,0.9923,0.97727,0.72154,1.03441,0.29552,0.00249,0.00159191,0.00159191,0.00159191
47,1734.62,1.08127,0.41579,0.0026,0.96012,0.98941,0.98215,0.72581,1.02839,0.30348,0.00246,0.00157501,0.00157501,0.00157501
48,1771.61,1.07905,0.4062,0.00259,0.96167,0.99014,0.98212,0.72552,1.03882,0.30098,0.00242,0.00155786,0.00155786,0.00155786
49,1808.47,1.09885,0.41107,0.00258,0.96132,0.98845,0.97993,0.72876,0.96409,0.30399,0.00222,0.00154047,0.00154047,0.00154047
50,1845.37,1.08786,0.40506,0.00256,0.96594,0.9923,0.9791,0.7401,0.97574,0.2831,0.00231,0.00152285,0.00152285,0.00152285
51,1882.19,1.05836,0.39078,0.00258,0.96695,0.98548,0.98138,0.73193,1.04435,0.29468,0.00246,0.001505,0.001505,0.001505
52,1919.03,1.08531,0.39716,0.00254,0.96639,0.99134,0.98022,0.70573,1.1078,0.30241,0.00273,0.00148694,0.00148694,0.00148694
53,1955.8,1.06792,0.39546,0.00256,0.96892,0.99038,0.9812,0.70373,1.12251,0.30772,0.00273,0.00146866,0.00146866,0.00146866
54,1992.72,1.06706,0.3966,0.00257,0.9641,0.99134,0.98297,0.74289,0.98737,0.2837,0.00226,0.00145019,0.00145019,0.00145019
55,2029.59,1.07713,0.38912,0.00258,0.96332,0.99326,0.97813,0.72559,1.03543,0.29364,0.00246,0.00143152,0.00143152,0.00143152
56,2066.59,1.06232,0.40468,0.00255,0.96648,0.9923,0.98458,0.75086,0.98316,0.2876,0.00226,0.00141267,0.00141267,0.00141267
57,2103.62,1.05705,0.39424,0.00252,0.96636,0.99522,0.98562,0.719,1.09349,0.29331,0.00257,0.00139364,0.00139364,0.00139364
58,2140.47,1.04503,0.37698,0.00252,0.96796,0.98941,0.98503,0.71297,1.0954,0.30191,0.0026,0.00137444,0.00137444,0.00137444
59,2177.34,1.05554,0.37971,0.00252,0.95915,0.99445,0.98326,0.73729,1.00905,0.28858,0.00238,0.00135509,0.00135509,0.00135509
60,2214.21,1.05147,0.38356,0.00249,0.96972,0.9862,0.98561,0.76294,0.95001,0.27304,0.0022,0.00133558,0.00133558,0.00133558
61,2250.97,1.05298,0.38685,0.00255,0.96825,0.98653,0.9862,0.73208,1.05547,0.29361,0.00255,0.00131593,0.00131593,0.00131593
62,2287.75,1.04727,0.37969,0.00249,0.96532,0.99137,0.98579,0.75061,0.98056,0.28549,0.00227,0.00129614,0.00129614,0.00129614
63,2324.57,1.05952,0.39149,0.00252,0.96726,0.99134,0.98498,0.75288,0.97967,0.28141,0.00226,0.00127623,0.00127623,0.00127623
64,2361.35,1.0341,0.3719,0.00244,0.9654,0.9935,0.98439,0.75171,0.97659,0.27704,0.00227,0.0012562,0.0012562,0.0012562
65,2398.14,1.05385,0.38975,0.00249,0.9609,0.9934,0.98333,0.68465,1.16975,0.33135,0.00281,0.00123607,0.00123607,0.00123607
66,2434.9,1.04138,0.38326,0.00244,0.96625,0.99186,0.98474,0.73924,1.01152,0.2815,0.00236,0.00121583,0.00121583,0.00121583
67,2471.67,1.0359,0.37412,0.00246,0.96441,0.991,0.98198,0.72361,1.04535,0.30603,0.00248,0.00119551,0.00119551,0.00119551
68,2508.44,1.06786,0.37758,0.00254,0.96809,0.99288,0.98244,0.71666,1.10165,0.2968,0.00265,0.0011751,0.0011751,0.0011751
69,2545.21,1.04034,0.36683,0.00246,0.96579,0.99615,0.9821,0.76271,0.94151,0.27458,0.00218,0.00115462,0.00115462,0.00115462
